_update_graph,1784642608.5811734
_update_graph,1784642608.6508129
_update_graph,1784642608.6974616
_update_graph,1784642608.7446208
_update_graph,1784642608.7898412
_update_graph,1784642608.8341026
_update_graph,1784642608.8811822
_update_graph,1784642608.9258425
_update_graph,1784642608.970446
_update_graph,1784642609.0154703
_update_graph,1784642609.060366
_update_graph,1784642609.105434
_update_graph,1784642609.14986
_update_graph,1784642609.1957147
_update_graph,1784642609.2417464
_update_graph,1784642609.2901397
_update_graph,1784642609.3355322
_update_graph,1784642609.3835113
_update_graph,1784642609.4304242
_update_graph,1784642609.474803
_update_graph,1784642609.5196502
_update_graph,1784642609.5643072
_update_graph,1784642609.6093652
_update_graph,1784642609.6536236
_update_graph,1784642609.7007108
_update_graph,1784642609.746131
_update_graph,1784642609.7905571
_update_graph,1784642609.8351567
_update_graph,1784642609.8826814
_update_graph,1784642609.928906
_update_graph,1784642609.9743161
_update_graph,1784642610.018979
_update_graph,1784642610.0645332
_update_graph,1784642610.1089125
_update_graph,1784642610.1537175
_update_graph,1784642610.2013385
_update_graph,1784642610.2489588
_update_graph,1784642610.2975411
_update_graph,1784642610.343561
_update_graph,1784642610.3880894
_update_graph,1784642610.4336088
_update_graph,1784642610.4776316
_update_graph,1784642610.5226643
_update_graph,1784642610.5690866
_update_graph,1784642610.615885
_update_graph,1784642610.6619003
_update_graph,1784642610.7080386
_update_graph,1784642610.7546966
_update_graph,1784642610.8020053
_update_graph,1784642610.848568
_update_graph,1784642610.895374
_update_graph,1784642610.9421282
_update_graph,1784642610.9879687
_update_graph,1784642611.0351808
_update_graph,1784642611.08188
_update_graph,1784642611.1287296
_update_graph,1784642611.1746283
_update_graph,1784642611.2200968
_update_graph,1784642611.2678657
_update_graph,1784642611.314766
_update_graph,1784642611.3609157
_update_graph,1784642611.4086862
_update_graph,1784642611.4574907
_update_graph,1784642611.5039737
_update_graph,1784642611.5512395
_update_graph,1784642611.599344
_update_graph,1784642611.6461604
_update_graph,1784642611.6926966
_update_graph,1784642611.7388554
_update_graph,1784642611.7863731
_update_graph,1784642611.8339438
_update_graph,1784642611.8813527
_update_graph,1784642611.927943
_update_graph,1784642611.9749935
_update_graph,1784642612.0212612
_update_graph,1784642612.0679133
_update_graph,1784642612.1152217
_update_graph,1784642612.1623225
_update_graph,1784642612.2080095
_update_graph,1784642612.2542095
_update_graph,1784642612.3037333
_update_graph,1784642612.349573
_update_graph,1784642612.3961473
_update_graph,1784642612.4458826
_update_graph,1784642612.4938498
_update_graph,1784642612.540592
_update_graph,1784642612.5877807
_update_graph,1784642612.635074
_update_graph,1784642612.682175
_update_graph,1784642612.7292807
_update_graph,1784642612.7773755
_update_graph,1784642612.826181
